Time,0.5 0.5
0,20
0.5,20
1,20
1.5,20
2,20
2.5,20
3,20
3.5,20
4,20
4.5,20
5,20
5.5,20
6,20
6.5,20
7,20
7.5,20
8,20
8.5,20
9,20
9.5,20
10,20
10.5,20
11,20
11.5,20
12,20
12.5,20
13,20
13.5,20
14,20
14.5,20
15,20
15.5,20
16,20
16.5,20
17,20
17.5,20
18,20
18.5,20
19,20
19.5,20
20,20
20.5,20
21,20
21.5,20
22,20
22.5,20
23,20
23.5,20
24,20
24.5,20
25,20
25.5,20
26,20
26.5,20
27,20
27.5,20
28,20
28.5,20
29,20
29.5,20
30,20
30.5,20
31,20
31.5,20
32,20
32.5,20
33,20.0001
33.5,20.0001
34,20.0001
34.5,20.0001
35,20.0001
35.5,20.0001
36,20.0001
36.5,20.0001
37,20.0001
37.5,20.0001
38,20.0002
38.5,20.0002
39,20.0002
39.5,20.0002
40,20.0002
40.5,20.0003
41,20.0003
41.5,20.0003
42,20.0004
42.5,20.0004
43,20.0004
43.5,20.0005
44,20.0005
44.5,20.0006
45,20.0006
45.5,20.0007
46,20.0007
46.5,20.0008
47,20.0009
47.5,20.0009
48,20.001
48.5,20.0011
49,20.0012
49.5,20.0013
50,20.0014
50.5,20.0015
51,20.0016
51.5,20.0017
52,20.0018
52.5,20.0019
53,20.0021
53.5,20.0022
54,20.0024
54.5,20.0025
55,20.0027
55.5,20.0029
56,20.0031
56.5,20.0033
57,20.0035
57.5,20.0037
58,20.0039
58.5,20.0042
59,20.0044
59.5,20.0047
60,20.005
60.5,20.0053
61,20.0056
61.5,20.0059
62,20.0062
62.5,20.0065
63,20.0069
63.5,20.0073
64,20.0077
64.5,20.0081
65,20.0085
65.5,20.0089
66,20.0094
66.5,20.0099
67,20.0104
67.5,20.0109
68,20.0114
68.5,20.0119
69,20.0125
69.5,20.0131
70,20.0137
70.5,20.0143
71,20.015
71.5,20.0157
72,20.0164
72.5,20.0171
73,20.0178
73.5,20.0186
74,20.0194
74.5,20.0202
75,20.0211
75.5,20.0219
76,20.0228
76.5,20.0238
77,20.0247
77.5,20.0257
78,20.0267
78.5,20.0277
79,20.0288
79.5,20.0299
80,20.031
80.5,20.0322
81,20.0334
81.5,20.0346
82,20.0358
82.5,20.0371
83,20.0384
83.5,20.0398
84,20.0412
84.5,20.0426
85,20.044
85.5,20.0455
86,20.0471
86.5,20.0486
87,20.0502
87.5,20.0519
88,20.0535
88.5,20.0552
89,20.057
89.5,20.0588
90,20.0606
90.5,20.0625
91,20.0644
91.5,20.0663
92,20.0683
92.5,20.0704
93,20.0724
93.5,20.0745
94,20.0767
94.5,20.0789
95,20.0811
95.5,20.0834
96,20.0858
96.5,20.0881
97,20.0905
97.5,20.093
98,20.0955
98.5,20.0981
99,20.1007
99.5,20.1033
100,20.106
100.5,20.1088
101,20.1116
101.5,20.1144
102,20.1173
102.5,20.1202
103,20.1232
103.5,20.1262
104,20.1293
104.5,20.1324
105,20.1356
105.5,20.1388
106,20.1421
106.5,20.1454
107,20.1488
107.5,20.1523
108,20.1557
108.5,20.1593
109,20.1629
109.5,20.1665
110,20.1702
110.5,20.1739
111,20.1777
111.5,20.1816
112,20.1855
112.5,20.1894
113,20.1935
113.5,20.1975
114,20.2016
114.5,20.2058
115,20.21
115.5,20.2143
116,20.2187
116.5,20.223
117,20.2275
117.5,20.232
118,20.2366
118.5,20.2412
119,20.2458
119.5,20.2506
120,20.2553
120.5,20.2602
121,20.2651
121.5,20.27
122,20.275
122.5,20.2801
123,20.2852
123.5,20.2904
